00000000 : 00000000_00000000_00000000_00000000 : 00000000
00000001 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000002 : 00010010_00110100_00000000_00000000 : 12340000
00000003 : 00010010_00110100_01010110_01111000 : 12345678
00000004 : 11111111_11111111_00000000_00000000 : ffff0000
00000005 : 11111111_11111111_11111111_11111111 : ffffffff
00000006 : 00010010_00110100_01010110_01110111 : 12345677
00000007 : 00010010_00110100_01010110_01110111 : 12345677
00000008 : 11111111_11111111_01010110_01111000 : ffff5678
00000009 : 00010010_00110100_01010110_01110111 : 12345677
0000000a : 00010010_00110100_11111001_01111101 : 1234f97d
0000000b : 00100011_01000101_01100111_10000000 : 23456780
0000000c : 00000000_00000000_00100000_00000000 : 00002000
0000000d : 00000000_00000000_00000000_00000010 : 00000002
0000000e : 00000000_00000000_00001000_00000000 : 00000800
0000000f : 00000000_00000000_01010110_01111000 : 00005678
00000010 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000011 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000012 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000013 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000014 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000015 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000016 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000017 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000018 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
00000019 : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001a : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001b : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001c : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001d : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001e : xxxxxxxx_xxxxxxxx_xxxxxxxx_xxxxxxxx : xxxxxxxx
0000001f : 00000000_00000000_00000000_01101000 : 00000068
